matchup_id,year,week,home_team_id,home_score,away_team_id,away_score,is_playoff,matchup_type
1113,2021,8,4,132.05,3,166.95,0,NONE
1114,2021,9,2,122.3,11,153.9,0,NONE
1115,2021,9,9,113.1,8,82.3,0,NONE
1116,2021,9,12,140.6,7,137.75,0,NONE
1117,2021,9,6,158.1,4,123.9,0,NONE
1118,2021,9,1,94.0,3,118.5,0,NONE
1119,2021,10,11,117.8,8,82.3,0,NONE
1120,2021,10,7,121.7,2,158.65,0,NONE
1121,2021,10,4,133.85,9,112.6,0,NONE
1122,2021,10,3,96.15,12,134.4,0,NONE
1123,2021,10,1,141.7,6,140.4,0,NONE
1124,2021,11,7,157.85,11,148.55,0,NONE
1125,2021,11,8,101.75,4,122.8,0,NONE
1126,2021,11,2,148.7,3,158.7,0,NONE
1127,2021,11,9,155.95,1,125.6,0,NONE
1128,2021,11,12,141.55,6,143.3,0,NONE
1129,2021,12,11,83.15,4,136.85,0,NONE
1130,2021,12,3,118.9,7,151.95,0,NONE
1131,2021,12,1,140.1,8,94.4,0,NONE
1132,2021,12,6,132.65,2,132.85,0,NONE
1133,2021,12,12,146.3,9,176.0,0,NONE
1134,2021,13,3,172.1,11,115.1,0,NONE
1135,2021,13,4,119.2,1,98.7,0,NONE
1136,2021,13,7,161.7,6,132.95,0,NONE
1137,2021,13,8,146.0,12,163.35,0,NONE
1138,2021,13,2,163.25,9,135.75,0,NONE
1139,2021,14,7,310.35,11,277.85,1,WINNERS_BRACKET
1140,2021,14,2,310.55,3,302.5,1,WINNERS_BRACKET
1141,2021,14,4,220.9,12,313.6,1,LOSERS_CONSOLATION_LADDER
1142,2021,14,6,246.7,9,316.2,1,LOSERS_CONSOLATION_LADDER
1143,2021,14,1,246.0,8,192.95,1,LOSERS_CONSOLATION_LADDER
1144,2021,15,7,284.5,2,194.45,1,WINNERS_BRACKET
1145,2021,15,3,377.05,11,184.55,1,WINNERS_CONSOLATION_LADDER
1146,2021,15,12,339.2,9,325.9,1,LOSERS_CONSOLATION_LADDER
1147,2021,15,4,297.8,1,259.75,1,LOSERS_CONSOLATION_LADDER
1148,2021,15,6,339.45,8,195.7,1,LOSERS_CONSOLATION_LADDER
1149,2020,1,11,156.8,7,114.9,0,NONE
1150,2020,1,4,135.3,1,129.35,0,NONE
1151,2020,1,9,118.8,6,138.9,0,NONE
1152,2020,1,2,186.15,3,124.5,0,NONE
1153,2020,1,12,201.25,8,168.65,0,NONE
1154,2020,2,1,137.3,6,211.8,0,NONE
1155,2020,2,3,217.75,11,164.8,0,NONE
1156,2020,2,8,117.85,7,160.25,0,NONE
1157,2020,2,2,187.25,4,119.5,0,NONE
1158,2020,2,12,150.9,9,144.4,0,NONE
1159,2020,3,3,208.25,8,133.05,0,NONE
1160,2020,3,1,181.75,2,145.1,0,NONE
1161,2020,3,6,161.1,12,160.65,0,NONE
1162,2020,3,11,167.55,4,117.0,0,NONE
1163,2020,3,7,137.75,9,159.6,0,NONE
1164,2020,4,2,177.9,12,173.55,0,NONE
1165,2020,4,4,150.65,3,178.7,0,NONE
1166,2020,4,9,156.05,8,160.05,0,NONE
1167,2020,4,11,104.7,1,126.3,0,NONE
1168,2020,4,7,120.3,6,146.2,0,NONE
1169,2020,5,4,173.25,9,152.4,0,NONE
1170,2020,5,2,180.85,11,124.35,0,NONE
1171,2020,5,12,183.4,7,118.55,0,NONE
1172,2020,5,3,163.1,1,120.6,0,NONE
1173,2020,5,8,142.85,6,115.5,0,NONE
1174,2020,6,7,142.3,1,118.45,0,NONE
1175,2020,6,6,123.35,3,98.4,0,NONE
1176,2020,6,8,127.65,2,125.85,0,NONE
1177,2020,6,12,144.9,4,104.0,0,NONE
1178,2020,6,9,169.9,11,164.55,0,NONE
1179,2020,7,3,146.65,7,134.8,0,NONE
1180,2020,7,2,109.55,6,207.1,0,NONE
1181,2020,7,4,134.25,8,177.6,0,NONE
1182,2020,7,11,136.4,12,195.15,0,NONE
1183,2020,7,1,128.1,9,153.6,0,NONE
1184,2020,8,7,115.05,2,122.75,0,NONE
1185,2020,8,6,114.05,4,131.15,0,NONE
1186,2020,8,8,114.05,11,143.25,0,NONE
1187,2020,8,12,175.4,1,136.1,0,NONE
1188,2020,8,9,107.45,3,175.6,0,NONE
1189,2020,9,7,114.05,11,128.3,0,NONE
1190,2020,9,6,139.2,1,95.6,0,NONE
1191,2020,9,8,107.45,3,160.75,0,NONE
1192,2020,9,12,200.8,2,119.65,0,NONE
1193,2020,9,9,153.85,4,157.55,0,NONE
1194,2020,10,1,115.75,7,126.85,0,NONE
1195,2020,10,3,147.0,6,117.2,0,NONE
1196,2020,10,2,129.65,8,147.2,0,NONE
1197,2020,10,4,169.25,12,136.25,0,NONE
1198,2020,10,11,127.5,9,103.55,0,NONE
1199,2020,11,7,128.3,3,134.85,0,NONE
1200,2020,11,6,131.65,2,203.4,0,NONE
1201,2020,11,8,101.3,4,136.25,0,NONE
1202,2020,11,12,178.8,11,123.5,0,NONE
1203,2020,11,9,180.35,1,112.4,0,NONE
1204,2020,12,2,135.1,7,167.65,0,NONE
1205,2020,12,4,122.85,6,137.95,0,NONE
1206,2020,12,11,113.6,8,85.75,0,NONE
1207,2020,12,1,124.0,12,188.8,0,NONE
1208,2020,12,3,192.75,9,170.4,0,NONE
1209,2020,13,3,326.75,2,258.5,1,WINNERS_BRACKET
1210,2020,13,12,338.1,6,279.8,1,WINNERS_BRACKET
1211,2020,13,11,256.85,4,263.25,1,LOSERS_CONSOLATION_LADDER
1212,2020,13,8,218.7,9,297.15,1,LOSERS_CONSOLATION_LADDER
1213,2020,13,7,329.65,1,226.65,1,LOSERS_CONSOLATION_LADDER
1214,2020,14,3,342.95,12,366.4,1,WINNERS_BRACKET
1215,2020,14,6,265.35,2,320.05,1,WINNERS_CONSOLATION_LADDER
1216,2020,14,4,340.6,9,245.35,1,LOSERS_CONSOLATION_LADDER
1217,2020,14,11,200.3,7,278.5,1,LOSERS_CONSOLATION_LADDER
1218,2020,14,8,180.85,1,223.6,1,LOSERS_CONSOLATION_LADDER
1219,2019,1,11,133.75,7,165.85,0,NONE
1220,2019,1,4,178.1,1,181.9,0,NONE
1221,2019,1,9,100.0,6,145.6,0,NONE
1222,2019,1,2,168.25,3,148.1,0,NONE
1223,2019,1,12,175.0,8,150.8,0,NONE
1224,2019,2,1,106.05,6,167.6,0,NONE
